,CPU,%idle,iteration,tool,Time
0,all,95.64,0,osm,10:58:13
21,all,99.8,1,osm,10:56:54
42,all,85.26,2,osm,10:57:39
63,all,99.25,3,osm,10:57:14
84,all,85.91,4,osm,10:57:53
105,all,99.3,5,osm,10:57:00
126,all,97.44,6,osm,10:57:16
147,all,99.45,7,osm,10:56:58
168,all,99.4,8,osm,10:57:37
189,all,99.2,9,osm,10:58:19
210,all,86.63,10,osm,10:57:55
231,all,96.63,11,osm,10:57:45
252,all,99.45,12,osm,10:56:20
273,all,99.8,13,osm,10:57:04
294,all,99.7,14,osm,10:56:40
315,all,97.6,15,osm,10:58:09
336,all,98.75,16,osm,10:57:33
357,all,91.38,17,osm,10:57:47
378,all,98.95,18,osm,10:58:05
399,all,95.5,19,osm,10:57:43
420,all,99.4,20,osm,10:56:30
441,all,99.7,21,osm,10:56:56
462,all,99.65,22,osm,10:56:36
483,all,99.5,23,osm,10:56:28
504,all,99.65,24,osm,10:57:02
525,all,99.8,25,osm,10:56:46
546,all,95.79,26,osm,10:57:20
567,all,93.11,27,osm,10:57:12
588,all,90.07,28,osm,10:57:59
609,all,84.45,29,osm,10:58:17
630,all,93.07,30,osm,10:57:26
651,all,98.75,31,osm,10:57:06
672,all,99.6,32,osm,10:56:26
693,all,99.05,33,osm,10:57:35
714,all,99.65,34,osm,10:56:50
735,all,99.8,35,osm,10:56:38
756,all,94.12,36,osm,10:57:57
777,all,99.3,37,osm,10:57:30
798,all,96.42,38,osm,10:57:22
819,all,99.75,39,osm,10:56:52
840,all,97.69,40,osm,10:58:03
861,all,99.4,41,osm,10:56:22
882,all,99.3,42,osm,10:57:41
903,all,92.93,43,osm,10:57:28
924,all,99.45,44,osm,10:56:24
945,all,98.34,45,osm,10:58:01
966,all,99.55,46,osm,10:56:44
987,all,99.75,47,osm,10:56:48
1008,all,98.4,48,osm,10:58:11
1029,all,95.9,49,osm,10:57:51
1050,all,99.7,50,osm,10:56:32
1071,all,93.79,51,osm,10:57:08
1092,all,95.25,52,osm,10:57:18
1113,all,99.15,53,osm,10:57:10
1134,all,94.0,54,osm,10:57:24
1155,all,99.55,55,osm,10:56:34
1176,all,88.01,56,osm,10:58:15
1197,all,97.24,57,osm,10:57:49
1218,all,99.7,58,osm,10:56:42
1239,all,99.4,59,osm,10:58:07
